Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		8,160 K	74,676 K	112		
System Idle Process	80.53	60 K	8 K	0		
System	2.00	200 K	148 K	4		
 Interrupts	0.82	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,156 K	1,184 K	360		
 Memory Compression		184 K	5,912 K	2268		
csrss.exe		1,800 K	5,420 K	452		
wininit.exe		1,332 K	6,584 K	532		
 services.exe	< 0.01	4,840 K	9,720 K	676		
  svchost.exe		912 K	3,836 K	816	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	11,016 K	27,868 K	836	Host Process for Windows Services	Microsoft Corporation
   dllhost.exe		2,016 K	7,988 K	4356	COM Surrogate	Microsoft Corporation
   RuntimeBroker.exe		4,140 K	25,100 K	4600	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		11,280 K	36,820 K	4852	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		10,016 K	30,948 K	5028	Application Frame Host	Microsoft Corporation
   RuntimeBroker.exe		17,492 K	33,264 K	5360	Runtime Broker	Microsoft Corporation
    MicrosoftEdgeSH.exe	Suspended	3,868 K	13,416 K	1080	Microsoft Edge Web Platform	Microsoft Corporation
   RuntimeBroker.exe		3,876 K	18,252 K	1924	Runtime Broker	Microsoft Corporation
   smartscreen.exe		21,236 K	36,860 K	5916	Windows Defender SmartScreen	Microsoft Corporation
   SkypeApp.exe	Suspended	104,292 K	87,360 K	812	SkypeApp	Microsoft Corporation
   RuntimeBroker.exe		5,576 K	23,152 K	5404	Runtime Broker	Microsoft Corporation
   dllhost.exe		5,864 K	14,596 K	4092	COM Surrogate	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,840 K	996 K	8328	Microsoft Skype	Microsoft Corporation
   Microsoft.Photos.exe	Suspended	31,800 K	24,000 K	3416		
   RuntimeBroker.exe		7,580 K	28,696 K	3980	Runtime Broker	Microsoft Corporation
